Tanggal Transaksi,Lokasi Pembelian,Tipe,Merek,Warna,Jenis Kelamin,Kota,Propinsi,Usia,Jenis Pembayaran,Pekerjaan,Pendidikan,Harga Jual
24/04/2018,BOJONEGORO,SAMSUNG GALAXY C7 PRO,SAMSUNG,HITAM,PEREMPUAN,BOJONEGORO,JAWA TIMUR,41,TUNAI,WIRASWASTA,SMA,4488000
24/04/2018,JOMBANG,XIAOMI REDMI 6 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,56,TUNAI,PNS,SMA,1649000
24/04/2018,MOJOKERTO,XIAOMI REDMI 6 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,MOJOKERTO,JAWA TIMUR,24,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,SURABAYA,XIAOMI REDMI 6 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,SURABAYA,JAWA TIMUR,23,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,BOJONEGORO,XIAOMI REDMI 6 3/32 GB,XIAOMI,HITAM,PEREMPUAN,BOJONEGORO,JAWA TIMUR,23,KREDIT,KARYAWAN SWASTA,SMA,1649000
24/04/2018,JOMBANG,XIAOMI REDMI 6 3/32 GB,XIAOMI,HITAM,LAKI-LAKI,JOMBANG,JAWA TIMUR,51,KREDIT,LAIN-LAIN,SMA,1649000
24/04/2018,SURABAYA,XIAOMI REDMI 6 3/32 GB,XIAOMI,HITAM,PEREMPUAN,SURABAYA,JAWA TIMUR,42,KREDIT,KARYAWAN SWASTA,SARJANA (S1),1649000
24/04/2018,MOJOKERTO,XIAOMI REDMI 6 3/32 GB,XIAOMI,HITAM,PEREMPUAN,MOJOKERTO,JAWA TIMUR,21,TUNAI,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,XIAOMI REDMI 6 3/32 GB,XIAOMI,PUTIH,PEREMPUAN,JOMBANG,JAWA TIMUR,22,KREDIT,PELAJAR/MAHASISWA,SMA,1649000
24/04/2018,JOMBANG,XIAOMI REDMI 6 3/32 GB,XIAOMI,PUTIH,LAKI-LAKI,JOMBANG,JAWA TIMUR,26,KREDIT,KARYAWAN SWASTA,SMA,1649000
